title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"Celia, Malibu","","","","","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","image/jpeg","","","16","","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/16","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/16/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/.html"
"Celia, Malibu","","","","1973","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","17","coll0017","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/17","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/17/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0017.html"
"Peoria","","","","","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","image/jpeg","","","18","","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/18","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/18/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/.html"
"Peoria","","","","","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","image/jpeg","","","19","","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/19","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/19/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/.html"
"Peoria","","","","1993","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","20","coll0020","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/20","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/20/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0020.html"
"Five Guys Named Moe","","","","","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","image/jpeg","","","21","","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/21","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/21/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/.html"
"Five Guys Named Moe","","","","","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","image/jpeg","","","22","","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/22","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/22/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/.html"
"Five Guys Named Moe","","","","1988","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","23","coll0023","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/23","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/23/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0023.html"
"E-1957","","","","1957","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","24","coll0024","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/24","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/24/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0024.html"
"Culver Track A Section I","","","","1973","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","25","coll0025","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/25","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/25/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0025.html"
"Fool&#39;s House","","","","1972","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","26","coll0026","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/26","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/26/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0026.html"
"Empathy Displacement: Humanoid Morphology (2nd and 3rd Morphology)","","","","1990","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","27","coll0027","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/27","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/27/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0027.html"
